Season,Episode,Contestants,ChW,ChA,SO,VFB,VAP,TotV,TCA,TCV,VFT,InRCA,InRCW,InICA,InICW,TRCA,TRCW,TICA,TICW,Reward win?,Reward #people,Reward win%,Immunity win,Immunity #people,Immunity win%,Immunity total win%,Sex,Age,Occupation,Hometown,Home State,Original Tribe,Merged,Tribe
,2,Wendell Holland,0.111111111,0.111111111,,,,,,,,,,,,,,1,1,,,,1,9,0.111111111,,M,33,Furniture Company Owner,Philadelphia,PA,Naviti,FALSE,Naviti
,3,Brendan Shapiro,0.111111111,0.111111111,,,,,,,,,,,,,,1,1,,,,1,9,0.111111111,,M,40,Physical Education Teacher,Herndon,VA,Naviti,FALSE,Naviti
,3,Donathan Hurley,0,0.111111111,,1,,8,1,Morgan,,,,,,,,1,,,,,0,9,0,,M,25,Caretaker,Kimper,KY,Malolo,FALSE,Malolo
,3,James Lim,0,0.111111111,,1,,8,1,Morgan,,,,,,,,1,,,,,0,9,0,,M,24,Business Analyst,New York City,NY,Naviti,FALSE,Naviti
,3,Jenna Bowman,0.111111111,0.111111111,,,,,,,,,,,,,,1,1,,,,1,9,0.111111111,,F,23,Advertising Account Executive,Venice Beach,CA,Malolo,FALSE,Malolo
,3,Laurel Johnson,0,0.111111111,,1,,8,1,Morgan,,,,,,,,1,,,,,0,9,0,,F,29,Financial Consultant,Minneapolis,MN,Naviti,FALSE,Naviti
,3,Libby Vincek,0,0.111111111,,1,1,8,1,Morgan,,,,,,,,1,,,,,0,9,0,,F,24,Social Media Strategist,Houston,TX,Naviti,FALSE,Naviti
,3,Michael Yerger,0.111111111,0.111111111,,,,,,,,,,,,,,1,1,,,,1,9,0.111111111,,M,18,Real Estate Agent,Los Angeles,CA,Malolo,FALSE,Malolo
,3,Stephanie Johnson,0.111111111,0.111111111,,,,,,,,,,,,,,1,1,,,,1,9,0.111111111,,F,34,Yoga Instructor,Chicago,IL,Malolo,FALSE,Malolo
,3,Angela Perkins,0,0.111111111,,0,3,8,1,Libby,,,,,,,,1,,,,,0,9,0,,F,42,Army Veteran,Cincinnati,OH,Naviti,FALSE,Naviti
,3,Bradley Kleihege,0.111111111,0.111111111,,,,,,,,,,,,,,1,1,,,,1,9,0.111111111,,M,26,Law Student,Los Angeles,CA,Malolo,FALSE,Malolo
,3,Chelsea Townsend,0.111111111,0.111111111,,,,,,,,,,,,,,1,1,,,,1,9,0.111111111,,F,25,EMT/Pro Cheerleader,Los Angeles,CA,Naviti,FALSE,Naviti
,3,Chris Noble,0,0.111111111,,,,,,,,,,,,,,1,,,,,0,9,0,,M,27,Male Model,Brooklyn,NY,Naviti,FALSE,Naviti
,3,Desiree Afuye,0.111111111,0.111111111,,,,,,,,,,,,,,1,1,,,,1,9,0.111111111,,F,21,Student,Brooklyn,NY,Malolo,FALSE,Malolo
,3,Domenick Abbate,0,0.111111111,,0,,8,1,Angela,,,,,,,,1,,,,,0,9,0,,M,38,Construction Supervisor,Nesconset,NY,Naviti,FALSE,Naviti
,3,Kellyn Bechtold,0.111111111,0.111111111,,,,,,,,,,,,,,1,1,,,,1,9,0.111111111,,F,30,Career Counselor,Denver,CO,Naviti,FALSE,Naviti
,3,Morgan Ricke,0,0.111111111,,0,4,8,1,Angela,,,,,,,,1,,,,,0,9,0,,F,29,Marine Animal Trainer,Orlando,FL,Naviti,FALSE,Naviti
,3,Sebastian Noel,0.111111111,0.111111111,,,,,,,,,,,,,,1,1,,,,1,9,0.111111111,,M,22,Fishing Guide,Satellite Beach,FL,Naviti,FALSE,Naviti
,3,Wendell Holland,0,0.111111111,,0,,8,1,Angela,,,,,,,,1,,,,,0,9,0,,M,33,Furniture Company Owner,Philadelphia,PA,Naviti,FALSE,Naviti
